class_or_scope,feature,generator_a_mean,generator_a_std,generator_b_mean,generator_b_std,mean_difference_b_minus_a,standardized_mean_difference
overall,qber,0.03071853145956993,0.02173883654177189,0.034010838717222214,0.018513644114136696,0.0032923072576522827,0.16306025030190796
overall,photon_count,785.8713988,297.49561840761845,632.9263936,216.49582274145126,-152.94500519999997,-0.5878716684154297
overall,latency_ms,6.1671295166015625,0.8671582937240601,6.393341541290283,0.7941969037055969,0.2262120246887207,0.2720600558631495
overall,abort_flag,0.1776838,0.3822463436287651,0.1212766,0.3264484435442142,-0.056407200000000005,-0.1586950470887174
normal,qber,0.01843392103910446,0.007334335241466761,0.025428300723433495,0.011555606499314308,0.006994379684329033,0.7227147083275629
normal,photon_count,984.7755616,163.31666636386075,737.5437192,175.8035780541214,-247.2318423999999,-1.4570903125258008
normal,latency_ms,5.3022356033325195,0.3447032868862152,5.797235012054443,0.5162986516952515,0.49499940872192383,1.1276451844422046
normal,abort_flag,0.0016056,0.04003775778736867,0.0062056,0.07853082534037191,0.0046,0.07380047786888307
partial_intercept_resend,qber,0.05927089974284172,0.022060060873627663,0.05326288565993309,0.019631482660770416,-0.00600801408290863,-0.2877248609052198
partial_intercept_resend,photon_count,984.5766624,163.3384142633827,739.287924,178.88981227943145,-245.28873840000006,-1.432002726828144
partial_intercept_resend,latency_ms,6.335599422454834,0.5439081788063049,6.4965105056762695,0.5927176475524902,0.16091108322143555,0.2828774785575574
partial_intercept_resend,abort_flag,0.0846184,0.2783130007409643,0.070004,0.25515375753455016,-0.0146144,-0.05473873522665962
detector_blind,qber,0.026600925251841545,0.012632563710212708,0.031838104128837585,0.013965453021228313,0.00523717887699604,0.3933086711644339
detector_blind,photon_count,400.6936672,216.2290932141548,415.3413512,168.73647994478924,14.647684000000027,0.07552609485565248
detector_blind,latency_ms,7.159814357757568,0.735031008720398,7.142734527587891,0.7574288845062256,-0.017079830169677734,-0.022885582662906908
detector_blind,abort_flag,0.6094832,0.48786619981072676,0.390924,0.48795740205882715,-0.2185592,-0.4479481714250381
fiber_tap,qber,0.01856837421655655,0.007717319764196873,0.025514040142297745,0.011655090376734734,0.006945665925741196,0.7026979038277446
fiber_tap,photon_count,773.439704,162.31050591626035,639.53258,162.6556179790406,-133.90712399999995,-0.8241292777390636
fiber_tap,latency_ms,5.870870113372803,0.4508994519710541,6.136885643005371,0.5814398527145386,0.26601552963256836,0.511292985640833
fiber_tap,abort_flag,0.015028,0.121664124605407,0.0179728,0.1328524687770611,0.002944800000000001,0.02311801204361816
