,precision,recall,f1-score,support
normal,0.7605795528090357,0.8160544,0.7873410178868867,312500.0
partial_intercept_resend,0.9278738037786641,0.904432,0.916002949254989,312500.0
detector_blind,0.9029972187192289,0.8363488,0.8683960892787427,312500.0
fiber_tap,0.7036084162074676,0.7219968,0.712684015433527,312500.0
accuracy,0.819708,0.819708,0.819708,0.819708
macro avg,0.8237647478785991,0.819708,0.8211060179635363,1250000.0
weighted avg,0.8237647478785992,0.819708,0.8211060179635362,1250000.0
