,precision,recall,f1-score,support
normal,0.6435237903548219,0.7468768,0.6913590120692132,312500.0
partial_intercept_resend,0.9453772745741865,0.8264352,0.8819139363785529,312500.0
detector_blind,0.8924050866131867,0.774976,0.829555438712473,312500.0
fiber_tap,0.5801038077426922,0.636256,0.6068837953205575,312500.0
accuracy,0.746136,0.746136,0.746136,0.746136
macro avg,0.7653524898212217,0.746136,0.752428045620199,1250000.0
weighted avg,0.7653524898212218,0.746136,0.7524280456201992,1250000.0
