,precision,recall,f1-score,support
normal,0.7433010696487516,0.8510048,0.79351495865167,312500.0
partial_intercept_resend,0.9295051892059247,0.9030656,0.9160946647600838,312500.0
detector_blind,0.926030738498395,0.8188512,0.8691492125924076,312500.0
fiber_tap,0.7184807078331097,0.717968,0.7182242624168304,312500.0
accuracy,0.8227224,0.8227224,0.8227224,0.8227224
macro avg,0.8293294262965454,0.8227224,0.824245774605248,1250000.0
weighted avg,0.8293294262965453,0.8227224,0.824245774605248,1250000.0
