,precision,recall,f1-score,support
normal,0.7436525051110426,0.8497152,0.7931538151350866,312500.0
partial_intercept_resend,0.9292761641309359,0.9029888,0.9159439106725525,312500.0
detector_blind,0.9256573834782137,0.8195104,0.8693557831846767,312500.0
fiber_tap,0.7185457686217431,0.7187872,0.7186664640340423,312500.0
accuracy,0.8227504,0.8227504,0.8227504,0.8227504
macro avg,0.8292829553354839,0.8227504,0.8242799932565896,1250000.0
weighted avg,0.8292829553354838,0.8227504,0.8242799932565896,1250000.0
