model,diagnostic_samples,accuracy,macro_f1,mcc
Logistic_Regression,100000,0.81954,0.8209422381617731,0.7597578687774195
Random_Forest,100000,0.82269,0.8241929130528202,0.7646918589981674
XGBoost,100000,0.82245,0.8239305820539734,0.7643425015942132
