,normal,partial_intercept_resend,detector_blind,fiber_tap
normal,293548,194568,120397,641487
partial_intercept_resend,55121,908318,134065,152496
detector_blind,6398,26556,1056081,160965
fiber_tap,104280,81492,399928,664300
