,normal,partial_intercept_resend,detector_blind,fiber_tap
normal,329370,177196,108512,634922
partial_intercept_resend,64372,831951,196403,157274
detector_blind,8228,17153,1040862,183757
fiber_tap,121389,67185,358570,702856
