,normal,partial_intercept_resend,detector_blind,fiber_tap
normal,242564,146268,211285,649883
partial_intercept_resend,66014,797438,214492,172056
detector_blind,8456,56434,1015573,169537
fiber_tap,105268,99141,452899,592692
