,precision,recall,f1-score,support
normal,0.6304998471797455,0.2623984,0.37057335843757183,1250000.0
partial_intercept_resend,0.760150918898416,0.6669552,0.7105100334590676,1250000.0
detector_blind,0.6133568627219529,0.8313856,0.7059196728633121,1250000.0
fiber_tap,0.41810258554223434,0.5648392,0.48051824311310654,1250000.0
accuracy,0.5813946,0.5813946,0.5813946,0.5813946
macro avg,0.6055275535855872,0.5813946,0.5668803269682645,5000000.0
weighted avg,0.6055275535855872,0.5813946,0.5668803269682645,5000000.0
