,precision,recall,f1-score,support
normal,0.639055006345965,0.2348384,0.34346215250619094,1250000.0
partial_intercept_resend,0.7500970325385199,0.7266544,0.7381896466951166,1250000.0
detector_blind,0.6174211664506443,0.8448648,0.7134547171716933,1250000.0
fiber_tap,0.4102521664377538,0.53144,0.46304815756602424,1250000.0
accuracy,0.5844494,0.5844494,0.5844494,0.5844494
macro avg,0.6042063429432207,0.5844494,0.5645386684847563,5000000.0
weighted avg,0.6042063429432207,0.5844494,0.5645386684847563,5000000.0
