,precision,recall,f1-score,support
normal,0.6293385611024173,0.263496,0.3714645483514618,1250000.0
partial_intercept_resend,0.7608252513751903,0.6655608,0.7100117986673693,1250000.0
detector_blind,0.6107101429462427,0.8326896,0.704630837203619,1250000.0
fiber_tap,0.41866346916176883,0.5622848,0.47996028419743314,1250000.0
accuracy,0.5810078,0.5810078,0.5810078,0.5810078
macro avg,0.6048843561464049,0.5810078,0.5665168671049708,5000000.0
weighted avg,0.6048843561464049,0.5810078,0.5665168671049708,5000000.0
